Images,Spell Name,Page,Source,Foundry Tag,Unnamed: 5,Tag ABRV,Tag,Theme,Class,New Class,Subclass,Level,School,School ABRV,Description,Notes,Clarification,Table,Scaling,Scaling Level,Scaling Modifier,Scaling Effect,Scaling Dice Count,Scaling Dice Type,Fixed Value,Flavor,Alternative Flavor,Quotes,Anomaly Effect,Modifier Details,Modifier Type,Modifier Subtype,Modifier Dice Count,Modifier Dice Type,Modifier Fixed Value,Modifier Use Primary Stat,Modifier Duration,Modifier Duration Unit,Damage,Damage Type,Old Damage Type,Old Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Acquisition Note,Permit,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,LLM Class
,Mindsling,0.0,ORIO,,,,,,Psionic,Psychomancer,,0-Cantrip,Evocation,V,"You form a sharpened shard of mental force—an arrow of intent, a spike of memory, or a piercing thought—and hurl it toward a creature within range.

Make a ranged spell attack against the target. On a hit, the target takes 1d8 cognitive damage.

The shard is invisible to those without psychic sensitivity, leaving no physical trace. To mundane observers, the effect may resemble the target momentarily flinching or losing focus.

Thematic Delivery

You choose the form your psyslings take. Examples include:
- A crystalline memory dart
- A shimmering synaptic spike
- A phrase spoken backward that drills through thought
- A fractal glyph burned across the air

The number of shards you manifest increases as you gain levels.
Each shard can target the same or different creatures. You make a separate attack roll for each.",,,"### Psysling Cantrip Progression

| Character Level | Damage | Number of Shards |
|----------------- |-------- |------------------ |
| 1st | 1d8 | 1 |
| 5th | 1d8 | 2 |
| 11th | 1d8 | 3 |
| 17th | 1d8 | 4 |",,,,,,,,,,,,make a ranged spell attack,2.0,,1,8,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,60 feet,Point,60.0,Feet,,,,,,Verbal,V,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mindsling.png,,,Sorcerer
,Mindspike Detonation,0.0,ORIO,,,,"Unhinged, Damage, BETA",,"Wizard, Warlock",Anomalous,,6th-level,Evocation,V,"You overload the thoughts of all creatures in range. They must make an Intelligence saving throw.
- On a failed save, they take 8d6 cognitive damage and are stunned until the end of their next turn as their thoughts collapse inward, echoing with names they shouldn’t know. 
- On a successful save, they take half damage and resist the mental collapse.
",,,,"At Higher Levels. 
When cast using an 8th-level spell slot or higher, the radius of the detonation increases to 40 feet.
",,,,,,,"During the Calamity of Shrouded Stars, Mindspike Detonation was unleashed upon a battlefield, reducing an entire legion to nameless husks. Those who survived swore they heard their own names whispered by the void.

Spellcasters who use Mindspike Detonation are marked—subtly at first. Their reflections blink at the wrong times, their shadows do not always align with their bodies.",,,"When casting this spell, roll a d20. On a 15 or higher:
A chorus of whispered names pulses outward. For 1 minute, your voice overlaps with an unknown one, slightly out of sync.",must make an Intelligence saving throw,4.0,4.0,,,,,,,8d6,cognitive,Psychic,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,120 feet,Point,120.0,Feet,30- foot- radius sphere,Sphere,S,30.0,"Radius, Sphere","Verbal, Somatic","V, S",A fragment of obsidian implanted in the skin,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mindspike%20detonation.png,3137394.0,,"Sorcerer, Wizard"
,Mirabel's Breath of Dusk,0.0,ORIO,Grants Advantage,Grants Advantage,ADV,"Sexual, BETA",,Bard,"Anomalous, Cultist",,3rd-level,Enchantment,E,"You press your lips against the sleeping target, whispering a glamour that blurs the truth and smooths away inconvenient memories.- The target forgets up to 10 minutes per caster level from the past 24 hours. You choose which moments are erased.- The spell only works on unconscious or willingly sleeping creatures.- If this spell is cast on the same target more than once within a week, their memory begins to unravel:- They suffer disadvantage on Intelligence checks for 24 hours,- And 1 level of exhaustion if they fail a DC 15 Wisdom saving throw.",,,,,,,,,,,Those who cross Mirabel rarely remember why they fear her. Only that something precious was stolen while they slept.,,,,fails a DC 15 Wisdom saving throw,4.0,5.0,,,15,,24,,,,,,,,,,,,15,False,False,Action,1.0,Action,,Permanent,Permanent,,,False,False,Touch,Point,,Touch,,,,,,Somatic,S,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mirabel%27s%20breath%20of%20dusk.png,3137395.0,,"Bard, Sorcerer, Warlock"
,Mirabel's Final Verse,0.0,ORIO,Healing,Healing,HL,BETA,,"Wizard, Bard, Warlock","Anomalous, Cultist",,9th-level,Necromancy,N,"You press a lingering, soul- bound kiss onto the target—searing an immortal affliction into their very being. The kiss binds them not to life, but to endless suffering.
- The target contracts a disease or madness of your choice (DM discretion or chosen from existing rules).
- They cannot die by any means—not from wounds, fire, aging, poison, or deprivation.
- When reduced to 0 hit points, the target falls into a state of paralyzed consciousness: aware, feeling pain, but unable to move or speak.
- They do not regenerate, heal, or lose hit points unless healed or damaged magically.
- Only a Greater Restoration or Cure Disease cast by a Cleric of higher level than the caster can remove the affliction.",,,,,,,,,,,"Creatures cursed in this way have been found years—sometimes centuries—later, whispering forgotten apologies into the void.",,,,only a Greater Restoration or Cure Disease cast by a Cleric of higher level than the caster can remo,4.0,,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Permanent until cured,Permanent,,,False,False,Touch,Point,,Touch,,,,,,"Somatic, Material","S, R","a vial of black salt, dissolved in a lover’s tear",,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mirabel%27s%20final%20verse.png,3137396.0,,"Bard, Sorcerer, Warlock"
,Mirabel's Kiss of Dawnbreaking,0.0,ORIO,Grants Advantage,Grants Advantage,ADV,"Sexual, BETA",,"Bard, Cleric",Cultist,,2nd-level,Enchantment,E,"A brief biometric transfer stimulates the target’s central nervous system, instantly eliminating exhaustion, hangovers, and sleep deprivation.

- The target gains the benefits of a long rest (except for spell slot recovery).
- Their next Constitution saving throw gains advantage.
 
 Often employed by high- level executives and underground performance- enhancing specialists.",Rename to something scientific,,,,,,,,,,,,,,gains advantage on their next Constitution saving throw,4.0,3.0,,,advantage,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,Touch,Point,,Touch,,,,,,Somatic,S,,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mirabel%27s%20kiss%20of%20dawnbreaking.png,3137397.0,,"Bard, Sorcerer"
,Missing Ledger,0.0,ORIO,Affects Objects,Affects Objects,OBJ,,,Warlock,Parascientist,,0-Cantrip,Divination,D,"You cause a single nonmagical item no larger than a book to appear misplaced or absent to those unfamiliar with it. For the duration, creatures other than you must succeed on an Intelligence (Investigation) check against your spell save DC to notice the object. This effect ends if the item is touched directly.",,,,,,,,,,,,,,,creatures other than you must succeed on an Intelligence (Investigation) check against your spell sa,4.0,4.0,,,spell save DC,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,True,30 feet,Point,30.0,Feet,,,,,,"Somatic, Verbal","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/missing%20ledger.png,3137398.0,,"Bard, Sorcerer, Wizard"
,Misthreaded Passage,0.0,ORIO,,,,"BETA, Stealth",,"Ranger, Druid",Architect,,3rd-level,Abjuration,A,"You tangle the creature’s passage through the Loom, scattering false impressions and contradictory threads in its wake.

For the duration, all attempts to track, locate, or divine the target’s position or identity produce misleading or fabricated results. Scrying, telepathic pursuit, omen-reading, and similar effects slide past echoes instead of the true thread.

If a creature is already following the target when this spell is cast, it must succeed on a Wisdom saving throw or lose the trail entirely, convinced it has reached a dead end or false conclusion.

At higher invocations, the Veil may be widened to cloak an entire group, their shared passage dissolving into overlapping false routes.",,,,"- At 5th level, the obfuscation lasts 8 hours.
- At 7th level, the effect extends to an entire group (up to 6 creatures).",,,,,,,,,,,must succeed on a Wisdom saving throw or lose the trail entirely,4.0,5.0,,,,,1,3.0,,,,,,,,,,,,False,False,Action,1.0,Action,,1 hours,,1.0,Hours,False,False,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R",a broken microchip,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/misthreaded%20passage.png,3137420.0,,"Bard, Sorcerer, Wizard"
,Misthreaded Record,0.0,ORIO,,,,,,Wizard,Parascientist,,0-Cantrip,Illusion,I,"You induce a momentary flaw in the Erelian Erudits’ registries, causing a document, card, or written record within range to appear subtly misaligned with its proper place in the Loom. Labels blur, markings seem inconsistent, and the record feels faintly out of order.

Any creature attempting to reference or rely upon the affected record must succeed on an Intelligence (Investigation) check against your spell save DC to notice the inconsistency. The disturbance is fragile. Once examined closely or deliberately scrutinized, the misthread resolves and the record settles back into its proper form.",,,,,1.0,,16.0,2.0,6.0,,,,,,any creature attempting to reference or rely upon the affected record must succeed on an Intelligenc,4.0,,,,spell save DC,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 rounds,,1.0,Rounds,False,False,10 feet,Point,10.0,Feet,,,,,,"Somatic, Verbal","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/misthreaded%20record.png,3137315.0,,"Bard, Sorcerer, Wizard"
,Mnemonic Fortress,0.0,ORIO,,,,,,Cleric,"Medic, Cultist",,7th-level,Abjuration,A,"You fortify the mind of a creature against forced memory alterations, cognitive tampering, and external data manipulation.
 
- The target becomes immune to Memory Fragmentation, A.S.T.R.A.L. Redaction, and similar effects.
- Any attempt to modify their memory fails outright, and the caster of the effect must make a Wisdom saving throw or suffer 5d8 cognitive damage.
- The target also remembers everything perfectly for 24 hours, with a near- photographic recall of events.",,,,"- At 9th level, this effect becomes permanent unless dispelled.",,,,,,,,,,,suffers 5d8 cognitive damage,4.0,5.0,5,8,,,,,5d8,cognitive,Psychic,,,,,,,,,False,False,1 minutes,1.0,Minutes,,24 hours,,24.0,Hours,False,False,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R",a glass bead filled with silver ink,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mnemonic%20fortress.png,3137399.0,,"Sorcerer, Wizard"
,Mnemonic Wipe,0.0,ORIO,"Requires Sight, Permanent Effects","Requires Sight, Permanent Effects",SGT,,,"Cleric, Wizard","Anomalous, Cultist",,2nd-level,Enchantment,E,"Target one creature you can see within range. It must make a Wisdom saving throw or forget the last 10 minutes of its memory. The effect is permanent unless restored by greater restoration, a cognitive anomaly, or direct exposure to the same event again.",Update mention of Greater Restoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,30 feet,Point,30.0,Feet,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mnemonic%20wipe.png,3137400.0,,"Bard, Sorcerer, Wizard"
,Mobster’s Favor,0.0,ORIO,,,,"Mispelled, BETA",,"Paladin, Ranger, Sorceror",Celebrity,,3rd-level,Conjuration,C,"You call in a debt from the shadow economy of the city, invoking an unspoken pact older than law. A hardened enforcer manifests nearby, broad-shouldered and scarred, wearing a long coat heavy with stitched sigils of obligation. Gold rings mark their fingers. Their eyes weigh you like currency.

They say nothing at first. Then, after a pause: “You paid. So I’m here.”

The enforcer is a capable but self-interested combatant. They fight efficiently, without heroics, and without mercy. Their loyalty is purely transactional, bound by coin and the invisible ledgers of the city’s underworld.

The Gilded Enforcer
	•	Acts once in combat, immediately after your turn
	•	Makes melee spell attacks, dealing 1d6 + your Charisma modifier impact damage
	•	Prioritizes protecting you or nearby allies, but will not sacrifice themselves
	•	If reduced to half their hit points, they begin fighting defensively

Coinbound Quirks
	1.	Refers to the caster as “credit”, “asset”, or “investment”
	2.	Casually references unnamed debts, favors, or broken oaths
	3.	Will threaten, maim, or intimidate enemies without hesitation
	4.	Shows no interest in ideology, morality, or long-term plans
	5.	Vanishes once the spell ends, leaving behind the faint impression that something is still owed

Additional Effects
	•	The enforcer demands payment in gold or valuables upon manifestation
	•	If unpaid or shorted, the GM may introduce future complications tied to reputation, lost favors, or shadow reprisals
	•	When the spell ends, the enforcer disappears silently, as if folded back into the city itself, leaving behind a sense of unresolved obligation

This is not a summoning.
It is a transaction.",,,,,,,,,,,,,,,deals 1d6 + Charisma modifier impact damage,3.0,,1,+ Charisma modifier,,,,,1d6,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,120 feet,Point,120.0,Feet,,,,,,Material,R,A broken gear,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mobster%E2%80%99s%20favor.png,3137401.0,,Warlock
,Momentum Shockwave,0.0,ORIO,,,,"Damage, Terrain, BETA",,Druid,Architect,,0-Cantrip,Evocation,V,"You slam your foot down onto the ground, sending a controlled shockwave rippling through the asphalt, knocking foes back and disrupting their balance.- Saving Throw: Each creature within 5 feet of you must make a Strength saving throw.- On a failed save, the creature is pushed 5 feet away from you.- On a successful save, the creature remains unaffected by the shockwave.- Additionally, any creature that fails the saving throw takes 1d6 sound damage as the shockwave disturbs their equilibrium.",,,,"- 5th Level: The push distance increases to 10 feet, and the damage increases to 2d6.- 11th Level: The push distance increases to 15 feet, and the damage increases to 3d6. The radius of the shockwave also increases to 10 feet.",,,,,,,"You slam your foot onto the solid asphalt beneath you, a tremor spreading out in all directions. The ground rumbles briefly before an invisible wave of force ripples outward, sending those nearby stumbling backward, unbalanced by the shock. The sound of the wave echoes briefly in the air, leaving a brief ringing in the ears of those it affects.",,,,each creature within 5 feet of you must make a Strength saving throw,4.0,1.0,,,,,,,1d6,,,,,,,,,,,False,False,Action,1.0,Action,,Instant,Instant,,,False,False,Self (5feet radius),Radius,5.0,"Self, Feet",,,,,,"Verbal, Somatic, Terrain","V, S, T",,,,Asphalt,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/momentum%20shockwave.png,3137402.0,,"Paladin, Ranger, Sorcerer"
,Mothlight,0.0,ORIO,Creates Light,Creates Light,LGTS,,,Bard,Scourge,,0-Cantrip,Illusion,I,"A small, glowing orb resembling a moth flutters within range, pulsing dim light in a 10- foot radius. The orb moves slowly (10 feet per round) in a direction of your choice. If it enters a creature’s space, the creature must make a Constitution saving throw or be briefly mesmerized, reducing its movement speed by half until the start of its next turn.",,,,,,,,,,,,,,,must make a Constitution saving throw,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 minutes,,1.0,Minutes,False,True,30 feet,Point,30.0,Feet,,,,,,"Verbal, Material","V, R",a moth’s wing,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mothlight.png,3137403.0,,"Bard, Sorcerer, Wizard"
,Muttering Solstice of Indignation,0.0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,"Unhinged, Buff, Rework, BETA",,"Sorceror, Warlock, Druid","Scourge, Judge",,3rd-level,Transmutation,T,"You whisper defiant syllables into the Weave, anchoring a sphere of uncooperative momentum into the world. Within the zone, tension hangs in the air—every movement feels optional, replaceable, or rebellious.

While within the sphere, each creature may choose at the start of their turn:
- Forego their movement speed for the turn to gain one of the following effects until the start of their next turn:
- +1 bonus to AC
- One additional weapon attack as part of the Attack action
- Advantage on the next saving throw they make

These choices must be made verbally—even whispered—causing faint echoes to ripple in the air.",,,,,,,,,,,"A beggar in Concord once claimed to be a king undone by this spell. When asked for details, his mouth moved, but no sound emerged.
Those who cast Muttering Solstice of Indignation say it never feels the same way twice. Each use leaves a trace—on the caster, on the ground, on the timeline.",,,"When you cast this spell, roll a d20. On a 15 or higher, reality trembles slightly:

For the next minute, illusory duplicates of the caster flicker into being around them, mirroring their movements with a one- second delay. They offer no mechanical benefit—but are extremely unsettling.",+1 bonus to ac,1.0,,,,1.0,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 turn,,1.0,,False,False,60 feet,Point,60.0,Feet,Sphere/15 ft (centered on a point you can see),Sphere,S,15.0,"Point, Sphere","Somatic, Material","S, R",a piece of a fence post,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/muttering%20solstice%20of%20indignation.png,3137405.0,,"Bard, Sorcerer"
,Mystic Mussel,0.0,ORIO,"Summons Creature, Modifies AC","Summons Creature, Modifies AC",SMN,"Mispelled, Rework, BETA",,Bard,"Celebrity, Anomalous",,0-Cantrip,Conjuration,C,"You conjure a small, ancient mussel in your hand—enchanted, annoyed, and tightly sealed shut. If anyone tries to pry it open, it vanishes with a faint salty pop, leaving behind only a briny scent.

If spoken to gently and respectfully, the mussel may whisper a cryptic phrase in an ancient tongue or forgotten accent. These utterances are rarely useful and often nonsense, though occasionally they align with bizarre truths.

Once conjured, the mussel lasts for 1 minute or until it disappears. It may be placed on surfaces, used as a very passive familiar, or simply admired.",,,"| d6 | Whispered Phrase |
|---- |------------------------------------------- |
| 1 | The seventh bell tolls sideways. |
| 2 | Ask the chimney, it remembers. |
| 3 | You were almost someone else. |
| 4 | Don’t trust the paperclip. |
| 5 | Salt forgets, but pepper never forgives. |
| 6 | It’s already behind you. |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,Touch,Point,,Touch,,,,,,"Material, Somatic, Verbal","V, S, R",A scrap of parchment with gibberish,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/mystic%20mussel.png,3137406.0,,Bard
,Naxious Haze,0.0,ORIO,Grants Advantage,Grants Advantage,ADV,,,"Wizard, Warlock",Architect,,1st-level,Conjuration,C,"You summon choking fumes that blur vision.
- A 10- foot- radius sphere becomes heavily obscured.
- Creatures inside must succeed a Constitution save or have disadvantage on attacks and lose reactions for 1 round.
- The area smells faintly of burnt plastic and rust.
",,,,,,,,,,,,,,,must succeed a Constitution save,4.0,3.0,,,,,1,1.0,,,,,,,,,,,,False,False,Action,1.0,Action,,up to 1 minutes,,1.0,Minutes,True,True,60 feet,Point,60.0,Feet,,,,,,"Material, Somatic, Verbal","V, S, R",a gear dipped in ash,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/naxious%20haze.png,3137407.0,,"Sorcerer, Warlock"
,Nethering Interlude,0.0,ORIO,Modifies AC,Modifies AC,MAC,,,"Bard, Cleric",Medic,,2nd-level,Abjuration,A,"You draw a thin veil between a creature and its own sensations, allowing pain, fear, and emotional shock to arrive late rather than all at once. For a brief time, the body moves while the mind waits.

The target continues to act as though unharmed, unafraid, and unburdened, their reactions eerily calm and delayed. Heat does not burn yet, poison does not sting yet, and terror feels distant, muffled, and unreal. Observers may notice the target moving with unsettling detachment, as if their spirit has stepped half a pace behind their flesh.

When the veil collapses, all postponed sensations rush back in a single overwhelming wave, leaving the creature reeling as their body and mind struggle to reconcile what was ignored.",,,,"At Higher Levels. When cast using a spell slot of 3rd level or higher, you may target one additional creature for each slot level above 2nd.",,,,,,,,,,,"no postponed sensations rush back in a single overwhelming wave, leaving the creature reeling as the",4.0,,,,,,1,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 rounds/level,,1.0,Rounds,False,False,10 feet,Point,10.0,Feet,,,,,,"Verbal, Somatic","V, S",,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/nethering%20interlude.png,3137486.0,,"Cleric, Paladin"
,Nonlinear Travel,0.0,ORIO,Modifies AC,Modifies AC,MAC,BETA,,Druid,Architect,,4th-level,Conjuration,C,"You exist in two places simultaneously, shifting between locations each round. You can take actions from either location, but your form is flickering and unpredictable. Any attempt to track, capture, or observe you results in incomplete or contradictory reports.",,,,,,,,,,,,,,,your form is flickering and unpredictable,5.0,,,,,,,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 hours,,1.0,Hours,False,True,Self,Point,,Self,,,,,,"Verbal, Somatic, Material","V, S, R",a key with no door,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/nonlinear%20travel.png,3137409.0,,"Sorcerer, Warlock"
,Obliteration Memorandum,0.0,ORIO,"Modifies AC, Uses Bonus Action","Modifies AC, Uses Bonus Action",MAC,"Bureaucratic, Corporate",,"Wizard, Warlock",Judge,,9th-level,Necromancy,N,"You issue a sanctioned directive that targets the body itself—its fluids, its functions, its very architecture. The spell sends a binding sigil through the bloodstream of one creature within range, turning their own vital systems against them.

The target must make a Constitution saving throw.

- On a failure, their blood ignites with administrative intent, warping to fulfill the directive. They take 10d10 biologic damage, and for the duration, they are affected by Internal Rebellion (see below).
- On a success, the target takes half damage and is not otherwise affected.

Internal Rebellion: 
For the duration of the spell, the creature suffers the following effects:
- Hemorrhagic Pulses: At the start of each of their turns, roll 1d6. On a 1–3, they take 3d6 biologic damage as their blood attempts to exit through eyes, ears, and pores. 
- Command Override: The caster may use a bonus action on their turn to force the target to use half their movement in a direction of the caster’s choosing, as their own muscle tissue spasms against them. 
- Hostile System Rejection: If the target attempts to cast a spell or take a reaction, they must first succeed on a Constitution saving throw or the action fails and they take 2d6 psychic damage.

If this spell reduces a creature to 0 hit points, their body implodes into mist and splinters of bone, leaving behind no remains.
",,,,,1.0,,16.0,2.0,6.0,,,,,,must make a Constitution saving throw,4.0,3.0,,,,,,,10d10,biologic,Poison,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,60 feet,Point,60.0,Feet,,,,,,"Material, Somatic, Verbal","V, S, R",a black file folder stamped “TOP SECRET”,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/obliteration%20memorandum.png,3137410.0,,"Sorcerer, Warlock"
,Obsolescence,0.0,ORIO,Grants Advantage,Grants Advantage,ADV,,,"Wizard, Cleric",Parascientist,Semiography,7th-level,Transmutation,T,"You mark a creature as obsolete, and reality enforces the correction. The target must make a Constitution saving throw. On a failure, it takes 10d10 impact damage and suffers disadvantage on all attack rolls and ability checks for 1 minute. If the creature has legendary resistances, it must expend one to automatically succeed.",,,,,,,,,,,,,,,must make a Constitution saving throw,4.0,3.0,,,,,,,10d10,impact,Force,,,,,,,,,False,False,Action,1.0,Action,,Instantaneous,Instant,,,False,False,30 feet,Point,30.0,Feet,,,,,,"Verbal, Somatic, Material","V, S, R",an outdated ID badge,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/obsolescence.png,3137411.0,,"Sorcerer, Warlock"
,Opulent Glare,0.0,ORIO,"Creates Light, Grants Advantage","Creates Light, Grants Advantage",LGTS,"Debuff, Terrain, BETA",,Druid,Architect,,0-Cantrip,Illusion,I,"You cause a dazzling flash of light to reflect off a nearby surface, like polished marble, momentarily blinding and disorienting any ranged attacker.- Saving Throw: Each creature within a 30- foot radius who makes a ranged attack on their turn must make a Constitution saving throw.- On a failed save, the creature suffers disadvantage on their next ranged attack.- On a successful save, they are unaffected by the dazzling light.",,,,"- 5th Level: The radius of the effect increases to 40 feet, and the disadvantage lasts for 1 additional round.
- 11th Level: The radius of the effect increases to 50 feet, and creatures that fail their saving throw are also blinded until the end of their next turn.",,,,,,,"The marble gleams brightly in the light as you invoke the magic, reflecting the sunlight or torchlight in an intense flash. The sudden burst causes ranged attackers to squint, their aim faltering as the brilliance momentarily overwhelms their senses. Those who fail to resist the burst of light find themselves momentarily disoriented, struggling to regain focus before releasing their projectile.",,,,must make a Constitution saving throw,4.0,3.0,,,,,1,,,,,,,,,,,,,False,False,Action,1.0,Action,,1 rounds,,1.0,Rounds,False,False,30feet,Point,30.0,Feet,,,,,,"Verbal, Somatic, Terrain","V, S, T",,,,Marble,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/opulent%20glare.png,3137412.0,,"Bard, Sorcerer, Wizard"
,Orb of Let's Not,0.0,ORIO,"Summons Creature, Modifies AC, Creates Light","Summons Creature, Modifies AC, Creates Light",SMN,"Mispelled, BETA",,"Bard, Sorceror, Paladin","Celebrity, Cultist",,1st-level,Transmutation,T,"You conjure a glowing, humming orb of soft pastel light that floats 5 feet off the ground and emits gentle music and phrases like:- “Let’s not do this.”- “Violence is exhausting.”- “Hugs not hits.”- “Come on, talk it out, champ.”

Each creature of your choice within a 10- foot radius of the sphere must succeed on a Wisdom saving throw or become non- hostile for as long as they remain within the sphere’s area.

They won’t initiate attacks, cast offensive spells, or shout mean things while inside—but they may still pout, sulk, or engage in passive aggression.

The Save DC is equal to: 10 + the creature’s Challenge Rating (rounded down)
This means tougher creatures are less likely to resist the sphere’s charm, because even ancient dragons want to be understood.

While active:- The sphere follows its original position and cannot be moved.- Creatures who exit and re- enter must re- roll their save.- Creatures who are damaged immediately shake off the effect.",,,"| d6 | The Sphere says... |
|---- |--------------------------------------------- |
| 1 | ""Let’s take a deep breath."" |
| 2 | ""I’m hearing a lot of anger right now."" |
| 3 | ""Let’s find common ground... maybe brunch?"" |
| 4 | ""It’s not about winning."" |
| 5 | ""I’m on your side. All of your sides."" |
| 6 | *Plays gentle ukulele chords and sighs* |",,,,,,,,,,,,DC is equal to: 10 + the creature’s Challenge Rating (rounded down),4.0,5.0,10,,+ the creature's Challenge Rating (rounded down),,,,,,,,,,,,,,10 + the creature’s Challenge Rating (rounded down),False,False,Action,1.0,Action,,up to 1 minutes,,1.0,Minutes,True,False,60 feet,Point,60.0,Feet,,,,,,"Material, Somatic","S, R",A rusted key,,,,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/orb%20of%20let%27s%20not.png,3137413.0,,Bard
