Spell Name,Audit - Resolution Model,Audit - Cantrip Decision,Audit - Damage Budget,Audit - Rider Budget,Audit - Damage Verdict,Audit - Permanent Effect Verdict,Audit - Original Class Verdict,Audit - Suggested Class Additions,Audit - Suggested Class Removals,Audit - Class Rationale,Audit - Action Economy Verdict,Audit - Upcasting Verdict,Audit - Overall Balance Verdict,Audit - Recommended Change Summary
Severed Echo,Saving Throw,Needs Manual Review,22.5-27.0 expected; 3.5 listed,No strong rider,Too Low,Safe,Remove Classes,,"Bard, Sorcerer","Removed non-thematic/high-level access for Bard, Sorcerer",Keep Action,Add Damage Scaling,Acceptable,"Removed Bard, Sorcerer access"
Shattered Sigil of Thought,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Shelter of the Bleeding Veil,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Silken Motion,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Removed Bard access
Snare of Arrested Thought,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Sobriety of the Veil,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Social Sabotage ,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Needs Manual Review,Removed Sorcerer access; Review unclear damage
Soulbrand Engraving,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Cleric,Sorcerer,Added thematic access for Cleric; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Added Cleric access; Removed Sorcerer access
Strike of Existential Appraisal,Saving Throw,Needs Manual Review,22.5-27.0 expected; 27.0 listed,No strong rider,Acceptable,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Add Damage Scaling,Acceptable,Removed Warlock access
Summon the Pendulum of Ruin,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Broaden Access,"Artificer, Cleric",,"Added thematic access for Artificer, Cleric",Keep Action,Needs Manual Review,Needs Manual Review,"Added Artificer, Cleric access; Review unclear damage"
Summons of the Implacable Scriptor,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Ranger,,Added thematic access for Ranger,Change to Bonus Action,Needs Manual Review,Acceptable,Added Ranger access; Bonus Action casting
The Hollow Man’s Smile,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
The Jester's Wild Gambit,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,"Druid, Ranger",Bard,"Added thematic access for Druid, Ranger; Removed non-thematic/high-level access for Bard",Change to Bonus Action,Needs Manual Review,Acceptable,"Added Druid, Ranger access; Removed Bard access; Bonus Action casting"
Unsealing of Whispered Threads,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Artificer,Sorcerer,Added thematic access for Artificer; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Added Artificer access; Removed Sorcerer access
Urge Unerring,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,Bard,Removed non-thematic/high-level access for Bard,Change to Bonus Action,Needs Manual Review,Acceptable,Removed Bard access; Bonus Action casting
Utallash's Pursuit of Ceramic,Saving Throw,Needs Manual Review,22.5-27.0 expected; 18.0 listed,No strong rider,Acceptable,Needs Manual Review,Broaden Access,"Cleric, Ranger",,"Added thematic access for Cleric, Ranger",Keep Action,Add Damage Scaling,Needs Manual Review,"Added Cleric, Ranger access; Review permanent effect"
Veil-Slip of Unrecorded Passage,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Cleric,"Sorcerer, Warlock","Added thematic access for Cleric; Removed non-thematic/high-level access for Sorcerer, Warlock",Keep Action,Needs Manual Review,Acceptable,"Added Cleric access; Removed Sorcerer, Warlock access"
Veil-Tread of Uncertain Thread,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Veil-Walk of the Unnoticed Thread,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,"Artificer, Wizard",,"Added thematic access for Artificer, Wizard",Change to Ritual,Needs Manual Review,Acceptable,"Added Artificer, Wizard access; Ritual casting"
Veiled Thread Dispatch,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Wizard,Bard,Added thematic access for Wizard; Removed non-thematic/high-level access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Wizard access; Removed Bard access
Veins of the Forgotten,Automatic with prerequisite,Needs Manual Review,22.5-27.0 expected; 3.5 listed,No strong rider,Too Low,Safe,Broaden Access,"Artificer, Druid",,"Added thematic access for Artificer, Druid",Keep Action,Add Damage Scaling,Acceptable,"Added Artificer, Druid access"
Velvet Undress,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Weftbound Renewal,Automatic with prerequisite,Needs Manual Review,22.5-27.0 expected; 4.5 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Writ of Arrested Will,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,No Upcast Needed,Acceptable,No further change recommended.
Architect’s Collapse,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Needs Manual Review,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage; Review permanent effect
Blasphemer’s Undoing,Saving Throw,Needs Manual Review,13.5-27.0 expected; 21.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Broaden Access,"Druid, Ranger",,"Added thematic access for Druid, Ranger",Keep Action,Add Damage Scaling,Acceptable,"Added Druid, Ranger access"
Canticle of the Built World,Automatic with prerequisite,Needs Manual Review,27.0-36.0 expected; 21.0 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Deferral to Higher Writ,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Aether Surge,Saving Throw,Needs Manual Review,8.8-21.6 expected; 22.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Dissonant Gestation,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Dispel Method,Broaden Access,Druid,,Added thematic access for Druid,Change to Ritual,Needs Manual Review,Needs Manual Review,Added Druid access; Ritual casting; Review permanent effect
Dyrnar’s Tormentous Wail,Saving Throw,Needs Manual Review,8.8-21.6 expected; 17.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Fold Space,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Change to Ritual,Needs Manual Review,Acceptable,Ritual casting
Giocrin's Hunt,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,"Artificer, Ranger","Sorcerer, Warlock","Added thematic access for Artificer, Ranger; Removed non-thematic/high-level access for Sorcerer, Warlock",Keep Action,Needs Manual Review,Acceptable,"Added Artificer, Ranger access; Removed Sorcerer, Warlock access"
Imperatum Reassertion of the Veil,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Imperial Recall Rite,Automatic with prerequisite,Needs Manual Review,13.5-27.0 expected; 3.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Lance of Dreadmere Scour,Saving Throw,Needs Manual Review,8.8-21.6 expected; 27.0 listed,Strong rider: reduced damage budget,Too High Because of Rider,Safe,Keep,,,Existing access is thematic.,Change to Reaction,Add Damage Scaling,Acceptable,Reaction casting
Nonlinear Travel,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Pulse of Still-Time Displacement,Saving Throw,Needs Manual Review,17.6-28.8 expected; 33.0 listed,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Removed Sorcerer access
Redlight in a Pocket,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Druid,Sorcerer,Added thematic access for Druid; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Added Druid access; Removed Sorcerer access
Refraction of Self,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Needs Manual Review,Needs Manual Review,Removed Warlock access; Review unclear damage
Refusal Writ of the Crown,Automatic with prerequisite,Needs Manual Review,27.0-36.0 expected; 14.0 listed,No strong rider,Too Low,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
Regal Seal of Arrested Passage,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Needs Dispel Method,Broaden Access,Artificer,,Added thematic access for Artificer,Change to Reaction,Needs Manual Review,Needs Manual Review,Added Artificer access; Reaction casting; Review permanent effect
Rejection of False Authority,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Sorcerer, Warlock","Removed non-thematic/high-level access for Sorcerer, Warlock",Keep Action,Needs Manual Review,Acceptable,"Removed Sorcerer, Warlock access"
Residual Presence,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Artificer, Bard",,"Added thematic access for Artificer, Bard",Change to Ritual,Needs Manual Review,Acceptable,"Added Artificer, Bard access; Ritual casting"
Restoration of Borrowed Breath,Automatic with prerequisite,Needs Manual Review,13.5-27.0 expected; 18.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Rite of Flesh Alignment,Automatic with prerequisite,Needs Manual Review,13.5-27.0 expected; 22.5 listed,Strong rider: reduced damage budget,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,Add Damage Scaling,Acceptable,Added Artificer access
Rotating Opus of Indignation,Saving Throw,Needs Manual Review,17.6-28.8 expected; 18.0 listed,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
Royal Claim of Provision,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Ranger,Sorcerer,Added thematic access for Ranger; Removed non-thematic/high-level access for Sorcerer,Change to Ritual,Needs Manual Review,Acceptable,Added Ranger access; Removed Sorcerer access; Ritual casting
Scourge of Rewound Hours,Saving Throw,Needs Manual Review,17.6-28.8 expected; 27.0 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Seal of Tempered Flesh,Saving Throw,Needs Manual Review,27.0-36.0 expected; 2.0 listed,No strong rider,Too Low,Safe,Narrow Access,Bard,Cleric,Added thematic access for Bard; Removed non-thematic/high-level access for Cleric,Keep Action,Add Damage Scaling,Acceptable,Added Bard access; Removed Cleric access
Sever Anomaly,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Needs Dispel Method,Remove Classes,,Paladin,Removed non-thematic/high-level access for Paladin,Keep Action,Needs Manual Review,Needs Manual Review,Removed Paladin access; Review permanent effect
Sever Link,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,"Cleric, Paladin, Sorcerer, Warlock","Removed non-thematic/high-level access for Cleric, Paladin, Sorcerer, Warlock",Keep Action,Needs Manual Review,Acceptable,"Removed Cleric, Paladin, Sorcerer, Warlock access"
Shades of the Unnamed,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Paladin,Removed non-thematic/high-level access for Paladin,Change to Ritual,Needs Manual Review,Acceptable,Removed Paladin access; Ritual casting
Sleep Theft,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Sphere of Sensory Oblivion,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Wizard,Removed non-thematic/high-level access for Wizard,Keep Action,Needs Manual Review,Acceptable,Removed Wizard access
Step Between Forms,Environmental with avoidance rules,Needs Manual Review,13.5-27.0 expected; 5.5 listed,Strong rider: reduced damage budget,Too Low,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
Still-Time Antechamber,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Still-Time Overclock,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Needs Manual Review,Acceptable,Removed Warlock access
Summon the Bound Retinue,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Suspension of Disbelief,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Change to Ritual,Needs Manual Review,Acceptable,Removed Sorcerer access; Ritual casting
Thallan's Flecks of Repugnant Soap,Saving Throw,Needs Manual Review,17.6-28.8 expected; 27.5 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Thallan's Hand of Craven Opal,Saving Throw,Needs Manual Review,27.0-36.0 expected; 22.5 listed,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
The Crawling Hunger,Saving Throw,Needs Manual Review,27.0-36.0 expected; 7.0 listed,No strong rider,Too Low,Needs Dispel Method,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Needs Manual Review,Removed Sorcerer access; Review permanent effect
The Infinite Stare,Saving Throw,Needs Manual Review,17.6-28.8 expected; 7.0 listed,No strong rider,Too Low,Safe,Narrow Access,"Druid, Ranger",Sorcerer,"Added thematic access for Druid, Ranger; Removed non-thematic/high-level access for Sorcerer",Keep Action,Add Damage Scaling,Acceptable,"Added Druid, Ranger access; Removed Sorcerer access"
The Ticking Man’s Favor,Automatic with prerequisite,Needs Manual Review,27.0-36.0 expected; 21.0 listed,No strong rider,Too Low,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Threadbound Recall,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Change to Ritual,Needs Manual Review,Acceptable,Removed Sorcerer access; Ritual casting
Unwitnessed Deeds,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Verdant Reclamation,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,Needs Manual Review,Acceptable,Added Artificer access
Withering Works,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Artificer,Sorcerer,Added thematic access for Artificer; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Added Artificer access; Removed Sorcerer access
Yarol's Veil,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,Druid,Sorcerer,Added thematic access for Druid; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Added Druid access; Removed Sorcerer access
Barb of Living Ruin,Automatic with prerequisite,Needs Manual Review,11.7-27.0 expected; 33.0 listed,Strong rider: reduced damage budget,Too High Because of Rider,Safe,Narrow Access,"Bard, Cleric, Druid",Warlock,"Added thematic access for Bard, Cleric, Druid; Removed non-thematic/high-level access for Warlock",Keep Action,Add Damage Scaling,Acceptable,"Added Bard, Cleric, Druid access; Removed Warlock access"
Sigil Missive,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Artificer, Ranger",,"Added thematic access for Artificer, Ranger",Change to Ritual,Needs Manual Review,Acceptable,"Added Artificer, Ranger access; Ritual casting"
Covenant of Deferred Morena,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Acceptable,No further change recommended.
Echoes of the Forgotten,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Edict of the Stilled Moment,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Druid,Sorcerer,Added thematic access for Druid; Removed non-thematic/high-level access for Sorcerer,Change to Reaction,Needs Manual Review,Acceptable,Added Druid access; Removed Sorcerer access; Reaction casting
Faint Heartbeat,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Ranger,"Sorcerer, Warlock","Added thematic access for Ranger; Removed non-thematic/high-level access for Sorcerer, Warlock",Change to Bonus Action,Needs Manual Review,Acceptable,"Added Ranger access; Removed Sorcerer, Warlock access; Bonus Action casting"
Fleshsmith’s Alloy,Saving Throw,Needs Manual Review,18.0-33.8 expected; 11.0 listed,Strong rider: reduced damage budget,Too Low,Needs Dispel Method,Broaden Access,Druid,,Added thematic access for Druid,Change to Ritual,Add Damage Scaling,Needs Manual Review,Added Druid access; Ritual casting; Review permanent effect
Grand Provision,Saving Throw,Needs Manual Review,36.0-45.0 expected; 18.0 listed,No strong rider,Too Low,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
Gravity Bubble,Saving Throw,Needs Manual Review,11.7-27.0 expected; 7.0 listed,Strong rider: reduced damage budget,Too Low,Safe,Broaden Access,"Artificer, Druid",,"Added thematic access for Artificer, Druid",Keep Action,Add Damage Scaling,Acceptable,"Added Artificer, Druid access"
Hollow of Lingering Thread,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Narrow Access,"Bard, Cleric",Warlock,"Added thematic access for Bard, Cleric; Removed non-thematic/high-level access for Warlock",Keep Action,Needs Manual Review,Needs Manual Review,"Added Bard, Cleric access; Removed Warlock access; Review unclear damage"
Imperial Rite of Erasure,Saving Throw,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Narrow Access,"Bard, Cleric, Druid",Sorcerer,"Added thematic access for Bard, Cleric, Druid; Removed non-thematic/high-level access for Sorcerer",Change to Ritual,Needs Manual Review,Acceptable,"Added Bard, Cleric, Druid access; Removed Sorcerer access; Ritual casting"
Imprint of the Permanence,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Bard access
Ledger of Justified Existence,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Needs Manual Review,Safe,Broaden Access,Wizard,,Added thematic access for Wizard,Keep Action,Needs Manual Review,Needs Manual Review,Added Wizard access; Review unclear damage
Lien upon the Nought,Saving Throw,Needs Manual Review,36.0-45.0 expected; 11.0 listed,No strong rider,Too Low,Safe,Narrow Access,Wizard,Sorcerer,Added thematic access for Wizard; Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Added Wizard access; Removed Sorcerer access
Midnight Admirer,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Cleric, Paladin, Ranger",,"Added thematic access for Cleric, Paladin, Ranger",Change to Bonus Action,Needs Manual Review,Acceptable,"Added Cleric, Paladin, Ranger access; Bonus Action casting"
Rapid Reload,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Needs Manual Review,Acceptable,Added Druid access
Regency Intercession,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Needs Manual Review,Acceptable,Added Bard access
Rend of the Veil,Saving Throw,Needs Manual Review,23.4-36.0 expected; 22.0 listed,No strong rider,Acceptable,Safe,Narrow Access,"Druid, Wizard",Warlock,"Added thematic access for Druid, Wizard; Removed non-thematic/high-level access for Warlock",Keep Action,Add Damage Scaling,Acceptable,"Added Druid, Wizard access; Removed Warlock access"
Revelation That Breaks the Mind,Saving Throw,Needs Manual Review,36.0-45.0 expected; 33.0 listed,No strong rider,Acceptable,Safe,Broaden Access,Paladin,,Added thematic access for Paladin,Keep Action,Add Damage Scaling,Acceptable,Added Paladin access
Rite of Royal Absolution,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Artificer, Druid",,"Added thematic access for Artificer, Druid",Keep Action,Needs Manual Review,Acceptable,"Added Artificer, Druid access"
Rite of Twin Accord,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Needs Manual Review,Safe,Keep,,,Existing access is thematic.,Keep Action,Needs Manual Review,Needs Manual Review,Review unclear damage
Spectral Retraction,Saving Throw,Needs Manual Review,18.0-33.8 expected; 39.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Add Damage Scaling,Acceptable,Removed Warlock access
Sundering Gate,Automatic with prerequisite,Needs Manual Review,36.0-45.0 expected; 3.5 listed,No strong rider,Too Low,Safe,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Add Damage Scaling,Acceptable,Removed Warlock access
Thallan's Suppurating Lance,Saving Throw,Needs Manual Review,23.4-36.0 expected; 9.0 listed,No strong rider,Too Low,Safe,Narrow Access,Druid,Sorcerer,Added thematic access for Druid; Removed non-thematic/high-level access for Sorcerer,Keep Action,Add Damage Scaling,Acceptable,Added Druid access; Removed Sorcerer access
Thaumaturgic Firewall,Saving Throw,Needs Manual Review,36.0-45.0 expected; 14.0 listed,No strong rider,Too Low,Safe,Broaden Access,Artificer,,Added thematic access for Artificer,Keep Action,Add Damage Scaling,Acceptable,Added Artificer access
The Price of Names,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,"Bard, Cleric, Wizard",Sorcerer,"Added thematic access for Bard, Cleric, Wizard; Removed non-thematic/high-level access for Sorcerer",Change to Ritual,Needs Manual Review,Acceptable,"Added Bard, Cleric, Wizard access; Removed Sorcerer access; Ritual casting"
Truth of Gizy ao zrfzm,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,"Artificer, Bard, Wizard",Sorcerer,"Added thematic access for Artificer, Bard, Wizard; Removed non-thematic/high-level access for Sorcerer",Change to Ritual,Needs Manual Review,Acceptable,"Added Artificer, Bard, Wizard access; Removed Sorcerer access; Ritual casting"
Unbound Stone,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Broaden Access,"Artificer, Paladin",,"Added thematic access for Artificer, Paladin",Keep Action,Needs Manual Review,Acceptable,"Added Artificer, Paladin access"
Weft Saturation,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,Strong rider,Acceptable,Safe,Remove Classes,,Sorcerer,Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Removed Sorcerer access
Witness of the Veil,Saving Throw,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Safe,Narrow Access,Bard,Sorcerer,Added thematic access for Bard; Removed non-thematic/high-level access for Sorcerer,Keep Action,Needs Manual Review,Acceptable,Added Bard access; Removed Sorcerer access
Womb of the Unwritten,Automatic with prerequisite,Needs Manual Review,No explicit damage formula,No strong rider,Acceptable,Needs Save,Remove Classes,,Warlock,Removed non-thematic/high-level access for Warlock,Keep Action,Needs Manual Review,Needs Manual Review,Removed Warlock access; Review permanent effect
Conjure Seducers,Saving Throw,Needs Manual Review,45.0-54.0 expected; 10.5 listed,No strong rider,Too Low,Safe,Broaden Access,Bard,,Added thematic access for Bard,Keep Action,Add Damage Scaling,Acceptable,Added Bard access
Echo of the Forgotten,Spell Attack,Needs Manual Review,22.5-40.5 expected; 11.0 listed,Strong rider: reduced damage budget,Too Low,Safe,Narrow Access,"Bard, Druid",Sorcerer,"Added thematic access for Bard, Druid; Removed non-thematic/high-level access for Sorcerer",Keep Action,Add Damage Scaling,Acceptable,"Added Bard, Druid access; Removed Sorcerer access"
Erudit Mind Fracture,Saving Throw,Needs Manual Review,22.5-40.5 expected; 36.0 listed,Strong rider: reduced damage budget,Acceptable,Safe,Keep,,,Existing access is thematic.,Keep Action,Add Damage Scaling,Acceptable,No further change recommended.
Everbright Cascade,Saving Throw,Needs Manual Review,29.2-43.2 expected; 36.0 listed,No strong rider,Acceptable,Safe,Broaden Access,Druid,,Added thematic access for Druid,Keep Action,Add Damage Scaling,Acceptable,Added Druid access
