Images,Spell Name,Page,Source,Foundry Tag,,Tag ABRV,Theme,Class,New Class,Level,School,School ABRV,Description,Notes,Clarification,Table,Flavor,Quotes,Damage,Damage Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,DDB Sync Status,DDB Sync Error,DDB Last Synced,DDB Publish Status
,Tight,0,ORIO,"Summons Creature, Grants Advantage","Summons Creature, Grants Advantage",SMN,,"Bard, Sorcerer",Celebrity,2nd-level,Transmutation,T,"With a sharp pose and a surge of magic, you conjure a flawless fit. The target’s attire realigns into immaculate tailoring—custom, luxurious, and sharp as their mood.
- While affected, the target:
- Gains advantage on Charisma (Performance, Intimidation, or Persuasion) checks made to impress, seduce, or intimidate.
- Radiates undeniable confidence and poise.
- Exudes a faint supernatural polish—fabric shimmers, collars hold, and hems never fold.

When cast on an unwilling creature, they must succeed on a Constitution saving throw or:
- Their clothing constricts for a moment, imposing disadvantage on their next Strength or Dexterity- based check or save.
- They suffer 1d4 psychic damage from the sudden discomfort and embarrassment.",,,,"In Concord City, it’s often used in high- fashion duels and rogue theater circles.- Casting Tight before a date or duel is considered polite.",,1d4,Psychic,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,Self,Point,,Self,,,,,,Somatic,S,,With a sharp pose,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/tight.png,3137553,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137553-tight/edit#modifi",2026-02-15 18:21:24,
,Torrent of Unbidden Thoughts,0,ORIO,,,,,"Sorcerer, Wizard",Hacker,2nd-level,Enchantment,E,"The target’s short- term memory floods with useless data. The affected creature must make an Intelligence saving throw. On a failure, they roll 1d6 and subtract it from all attack rolls, ability checks, and saving throws for the duration. The effect ends early if the target takes psychic damage.",,,,,,1d6,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved wooden cube",tapping your own forehead with your index finger,the phrase 'Mentis fluxus' spoken in a hushed tone,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/torrent%20of%20unbidden%20thoughts.png,3137511,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:21:33,
,Toxic Stray,0,ORIO,Grants Advantage,Grants Advantage,ADV,,"Sorcerer, Druid",Architect,2nd-level,Transmutation,T,"You gesture toward a nearby stray creature—be it a cat, pigeon, squirrel, rat, or even a raccoon—and imbue it with trace amounts of venomous energy. For the duration, the creature becomes semi- magical and mildly dangerous in unpredictable ways.- Choose or roll for a nearby unclaimed beast CR 0 or lower within range.- That creature becomes your semi- loyal venomous companion for the spell’s duration.- The creature cannot speak, but it understands your intent and can take basic commands (such as “harass,” “follow,” or “bite”).

While venomous, it gains:- A bite or claw attack that deals 1d6 toxic damage in addition to normal damage.- Creatures damaged by it must succeed a Constitution saving throw or suffer disadvantage on their next attack roll or skill check (your choice).

If reduced to 0 HP or dismissed, it explodes in a puff of neon- green spores and glittery hair, imposing disadvantage on Perception checks in a 5- ft radius until the end of the turn.",,,"| d6 | Quirk While Poisoned |
|---- |--------------------------------------------------------------------- |
| 1 | It glows faintly green and refuses to blink. |
| 2 | It purrs aggressively when attacking. |
| 3 | Its venom smells like bubblegum. |
| 4 | It sings very faint lullabies only the caster can hear. |
| 5 | It develops a temporary monocle. |
| 6 | It explodes into confetti upon vanishing. |","This spell is commonly used by street witches, dumpster mystics, and one particularly infamous pastry chef in Neon Mire.",,1d6,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,60 feet,Point,60,Feet,,,,,,"Somatic, Verbal","V, S",,With a flick of your wrist and a whispered 'toxicon',"Incanting 'Venomous whimsy, take hold'",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/toxic%20stray.png,3137557,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137557-toxic-stray/edit#",2026-02-15 18:21:42,
,Unwritten Passage,0,ORIO,,,,,"Sorcerer, Wizard","Hacker, Runner",2nd-level,Illusion,I,"You loosen your presence from all forms of recorded recognition, rendering your thread unreadable to systems that rely on ordered perception. For the duration, the affected creature cannot be perceived by divinatory constructs, ritual sensors, or Erudit-maintained observation wards.

Any attempt to observe the creature through indirect or automated means produces static impressions, looping moments, or blank intervals in perception. Creatures relying on direct sight, sound, or touch remain unaffected and can interact normally.

If the creature deliberately interacts with a warded or observed mechanism, the system may register disruption or error, but never a discernible identity.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 hours,,1,Hours,FALSE,TRUE,Touch,Point,,Touch,,,,,,"Somatic, Verbal","V, S",,"A gentle, sweeping motion of your hand.",You whisper 'Ephemeral silence falls',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/unwritten%20passage.png,3137332,,✅,,2026-02-15 18:22:06,
,Veiled Proclamation,0,ORIO,,,,,"Bard, Sorcerer",Hacker,2nd-level,Illusion,I,"You seed a false proclamation directly into the telepathic currents that carry shared thought and rumor. For the duration, a prepared message manifests simultaneously in the minds of creatures within range, presented as an authentic announcement, warning, or authoritative declaration.

The message feels real and unchallenged unless a listener succeeds on an Intelligence (Investigation) check (DC 15), sensing contradictions or unnatural gaps in the thought-stream. Attempts to trace the source encounter only dissipating echoes in the Weft, as the originating thread slips away before it can be followed.",,,,,,,,,,,,,,15,TRUE,FALSE,10 minutes,10,Minutes,,10 minutes,,10,Minutes,FALSE,FALSE,1 mile,Point,1,,,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved wooden box",a gentle tracing of an invisible thread with your index finger,the whispered phrase 'Echoes in the Weft',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/veiled%20proclamation.png,3137331,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:22:42,
,Verdant Irony,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,"Druid, Sorcerer",Architect,2nd-level,Transmutation,T,"You ironically invoke nature in the concrete- dominated Concord City, spontaneously causing lichen and moss to rapidly grow and spread in a 30- foot radius around you, covering surfaces and structures alike.

Choose one creature within range (including yourself). If the target is willing, it gains a friendly affinity with this newly grown environment: the lichen subtly helps them navigate and move effortlessly, granting them advantage on Dexterity checks within the area.

An unwilling creature must make a Wisdom saving throw or become cursed by the aggressive lichen growth, which actively attempts to hinder and trip them, imposing disadvantage on Dexterity checks and saving throws within the affected area.

The effect lasts for up to 1 hour or until dispelled.

Additionally, while within the area of the spell, affected creatures occasionally notice flickering glimpses of a serene, lush, and seemingly para- dimensional park hidden within reality. They never fully access this realm, experiencing only a tantalizing vision of what Concord City might have been.",,,,"A heavily censored A.S.T.R.A.L. document refers cryptically to experiments involving “environmental stabilization anomalies,” mentioning a phenomenon that “defied categorization—neither boon nor curse—but rewrote fate itself.”",,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 hours,,1,Hours,FALSE,TRUE,self,Point,,Self,30 ft. radius,,,30,Radius,"Somatic, Verbal, Material","V, S, R","A small, intricately carved wooden leaf","Tapping your fingers in a gentle, flowing motion",Whispering 'Folium naturae',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/verdant%20irony.png,3137571,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:23:11,
,Wallflower Perk,0,ORIO,,,,,Bard,"Architect, Cultist",2nd-level,Illusion,I,"When a spell is cast nearby, you instinctively deflect attention by projecting a spectral version of yourself into a nearby corner. The illusory duplicate radiates an aura of intense social discomfort, misdirecting attention away from you.

For the duration, creatures within 30 feet must succeed on a Wisdom saving throw when they attempt to target you with an attack, spell, or ability. On a failure, they ignore you entirely, unable to focus on your presence unless you directly harm them or force a saving throw.

This is not invisibility—you remain visible, but socially unnoticeable in a way that feels wrong. Even allies may forget you’re present.",,,,"A fragment of a partially erased A.S.T.R.A.L. log refers to this phenomenon as a “psycho- social misdirection glyph.” It notes one incident where an entire strike team entered a room, saw the caster, and left convinced it was unoccupied—twice.",,,,,,,,,,,FALSE,FALSE,Reaction,1,Reaction,when a spell is cast nearby,Instantaneous,Instant,,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Somatic, Verbal","V, S",,"With a subtle nod, you",Murmuring 'unseen',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/wallflower%20perk.png,3137579,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137579-wallflower-perk/e",2026-02-15 18:23:40,
,Zenith of Crimson Greed,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,"Bard, Ranger, Sorcerer, Warlock",Scourge,2nd-level,Illusion,I,"You touch the ground and whisper a name you barely remember. From your footsteps outward, false tracks begin to form—hoofprints, boot treads, claw marks, or even monstrous trails not known to local fauna. The chosen prints spread outward within a 15- foot cube, weaving seamlessly between your real path and the illusions.

These false tracks do not erase your actual trail, but instead obscure, redirect, or convolute it—causing anyone attempting to track you to suffer disadvantage on Wisdom (Survival) checks to follow your true movements. A creature that examines the tracks closely can make an Intelligence (Investigation) check against your spell save DC to discern the deception.

You may choose up to 2 distinct track types, layering them for added confusion. The illusion remains even through moderate weather or foot traffic but fades exactly 36 hours after casting.",,,,"Deep within the catacombs of Old Concord, the walls bear carvings of Zenith of Crimson Greed. The inscriptions shift when unobserved, as if the stone itself is trying to remember something it once forgot.

Some scholars believe that Zenith of Crimson Greed was not invented, but rather discovered—a piece of an equation written in the bones of the world itself.",,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,Self,Point,,Self,Cube/15 ft,Cube,C,15,Cube,"Verbal, Somatic","V, S",,touch the ground with your hand,whisper a name you barely remember,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/zenith%20of%20crimson%20greed.png,3137589,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:24:48,
,Boiling Rebuke,3,ORIO,"Requires Sight, Summons Creature, Modifies AC, Difficult Terrain","Requires Sight, Summons Creature, Modifies AC, Difficult Terrain",SGT,,"Sorcerer, Wizard",,3rd-level,Evocation,V,"You conjure a violent surge of scalding liquid at a point you can see within range. The fluid erupts outward in a 10-foot-radius sphere, splashing and spreading across surfaces.

Each creature in the area must make a Dexterity saving throw.

• Failure: The creature takes 3d6 fire damage.
• Success: The creature takes half damage.

The ground within the area is coated in seething liquid until the start of your next turn. The area is considered difficult terrain for the duration.

The liquid rapidly cools and dissipates when the effect ends, leaving no lasting residue.",,,,,,3d6,Fire,,,,,,,,FALSE,FALSE,Action,1,Reaction,,Instantaneous,Instant,,,FALSE,,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic","V, S",,"With a swift, sweeping motion of your arm",As the scorching tide,,,,,,,,,,,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/error?aspxerrorpath=/spells/modifier/create/nan"">he",2026-02-15 17:55:10,
,Breath Stolen Back,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,Cleric,Medic,3rd-level,Necromancy,N,"You seize a departing soul at the final threshold and wrench it back into failing flesh.

You touch a creature that has died within the last 1 minute. The creature returns to life with 1 hit point.

The return is unstable. The body struggles to accommodate the violently restored vitality:

• The creature gains one level of exhaustion.
• The creature’s speed is reduced by 10 feet.
• The creature has disadvantage on Constitution checks and Constitution saving throws.

These penalties persist until the creature finishes a long rest, at which point its life fully reasserts itself and the effects end.

This spell has no effect on creatures that died of old age, constructs, or undead.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R","a small, intricately carved bone",make a grasping motion with your hand,say 'Reclaim the fleeting spark',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/breath%20stolen%20back.png,3137575,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137575-breath-stolen-bac",2026-02-15 17:55:26,
,Cerulean Incantation of Pride,0,ORIO,,,,,Bard,Scourge,3rd-level,Divination,D,"You utter a resonant chant that cloaks the target in an aura of unwavering self-certainty, their will refusing to yield to decisive strikes.

Choose one creature within range. For the duration, the target’s composure cannot be shattered by perfect blows.

• Critical hits against the target are treated as normal hits.

Any attack that would be a critical hit instead resolves as a regular hit, rolling damage normally without additional critical damage dice or effects triggered by a critical hit.

This spell does not prevent a hit from occurring, only the transformation of a hit into a critical hit.",,,,"The phantom ship *Elder’s Lament* was last seen adrift in the Void Sea, its captain having invoked Cerulean Incantation of Pride in a desperate bid to escape the Hunt. The ship is still seen, sometimes, but never in the same place twice.

The very air around Cerulean Incantation of Pride seems to recoil, as if reality itself wishes to avoid acknowledging its existence. It is a spell that should not be, yet is.",,,,,,,,,,,FALSE,FALSE,Action,1,Action,,up to 1 minutes,,1,Minutes,TRUE,TRUE,Self,Point,,Self,,,,,,Verbal,V,,,"By pride's unyielding might, I seal",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/cerulean%20incantation%20of%20pride.png,3137214,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:55:57,
,Delayed Nap,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,Bard,Cultist,3rd-level,Enchantment,E,"You designate one creature within range and whisper a temporal lullaby bound to a deferred moment. When casting the spell, choose a delay of 1, 2, or 3 rounds. The spell takes no effect until the end of the chosen round, at which point the enchantment triggers.

When the delay expires, the target must make a Wisdom saving throw.

• Failure: The creature falls Unconscious for the duration. The creature awakens if it takes damage or if another creature uses an action to shake it awake.
• Success: The creature resists the enchantment but suffers temporal disorientation, gaining disadvantage on its next attack roll or ability check before the end of its next turn.

If the target is already Unconscious or naturally asleep when the spell triggers, it does not fall asleep again. Instead, it experiences disordered visions and incoherent speech for 1 minute. During this time:

• The creature has disadvantage on Insight checks.
• Its speech may emerge fragmented, irrational, or linguistically distorted at the GM’s discretion.",,,,Survivors of the spell’s effects often complain of waking up in a body that feels slightly… borrowed.,,,,,,,,,,,FALSE,FALSE,Reaction,1,Reaction,when an ally takes damage,1 minutes,,1,Minutes,FALSE,FALSE,120 feet,Point,120,Feet,,,,,,Somatic,S,,With a gentle nod and a whispered 'sleep's promise',,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/delayed%20nap.png,3137253,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:57:08,
,Discover Unseen Trace,0,ORIO,Modifies AC,Modifies AC,MAC,,"Ranger, Druid",Cultist,3rd-level,Divination,D,"You attune your perception to residual disturbances left by passing creatures, revealing ephemeral traces normally lost to time.

For the duration, you perceive faint, intangible impressions within a 60-foot radius. These traces mark the most recent passage of any creature that moved through the area within the last hour.

The trace appears only to you and may manifest as subtle distortions such as dim outlines, impressions of movement, displaced motes, or other sensory anomalies consistent with the environment. The trace does not reveal precise appearance or identity.

By using your action to examine a visible trace, you may learn one of the following details about the originating creature:

• Its general creature classification (humanoid, beast, aberration, etc.)
• The approximate time since it passed
• The presence of unusual influences, such as active magic, lingering conditions, or significant physiological or mental strain (GM discretion)

The spell does not reveal creatures currently present, negate invisibility, or penetrate effects that explicitly erase or obscure supernatural tracking.",,,,A censored note in Zachary Rogers’ Black Site logs reads: “We used to follow footprints. Now we follow echoes. But the echoes are starting to echo back.”,,,,,,,,,,,FALSE,FALSE,Reaction,1,Reaction,when an object is thrown at you,30 minutes,,30,Minutes,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Somatic, Verbal","V, S",,A gentle sweeping motion of your hand,Whisper 'Echoes reveal',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/discover%20unseen%20trace.png,3137265,,✅,,2026-02-15 17:57:27,
,Enthralling Kiss,0,ORIO,,,,,Bard,"Celebrity, Cultist",3rd-level,Enchantment,E,"You seal a moment of intimate magic, bending the target’s trust and perception with a fleeting touch.

Choose one humanoid creature you can touch. The target must make a Wisdom saving throw.

• Failure: The creature is Charmed by you for the duration.

While Charmed by this spell:

• The creature regards you as a credible and authoritative presence.
• The creature is inclined to comply with reasonable, non-harmful requests that do not directly endanger it.
• The creature’s movement is subtly drawn toward you. If it ends its turn more than 10 feet from you, it must succeed on a Wisdom saving throw or use its movement on its next turn to move closer to you by the safest available route.

The creature may repeat the saving throw at the end of each of its turns, ending the effect on a success.

The effect ends early if you or your allies damage the creature.",,,,Common in corporate negotiation tactics and underground consent override procedures.,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Until dispelled or broken,,,,FALSE,FALSE,Touch,Point,,Touch,,,,,,Somatic,S,,With a gentle caress of your lips.,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/enthralling%20kiss.png,3137298,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 17:59:26,
,Everblast,0,ORIO,"Requires Sight, Creates Light","Requires Sight, Creates Light",SGT,,"Sorcerer, Warlock",Operative,3rd-level,Evocation,V,"You detonate a violent pulse of Everbright radiance and concussive force at a point you can see within range.

Creatures within a 10-foot radius sphere must make a Constitution saving throw.

• Failure: A creature takes 3d8 radiant damage and is Blinded and Deafened until the end of your next turn.
• Success: A creature takes half damage and suffers no additional effects.

The burst manifests as a brief, overwhelming flare of light and force that vanishes almost instantly.",,,,,,3d8,,,,,,,,,FALSE,FALSE,Action,1,Action,,up to 1 minutes,,1,Minutes,TRUE,TRUE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic","V, S",,"With a swift, precise motion, you extend your arm and snap your fingers.",You utter the phrase 'Everbright's fury unleashed!',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/everblast.png,3137322,,❌,"Failed to create modifier: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137322-everblast/edit#mo",2026-02-15 17:59:44,
,Famine Birth,0,ORIO,,,,,"Sorcerer, Warlock",Scourge,3rd-level,Necromancy,N,"You press your fingers against the target’s abdomen and whisper an incantation that only hunger understands. The body responds, but not in the way it should. Something takes root within the target’s form, but it is not life—it is absence made flesh.
 
- The target must make a Constitution saving throw. On a failure:
- They become host to an Unborn Hunger, a parasitic void that feeds upon them instead of growing.
- Each long rest, they lose 1d4 maximum hit points, their flesh pulling taut over their bones.
- Their appetite vanishes—no matter what they eat, their body refuses to digest it.
- They can feel it moving inside them, shifting with breath, curling beneath the ribs.
- If reduced to 0 HP while afflicted, they do not die. Instead, their body becomes an empty husk, and something else uses their form.
 
 Ending the Spell:
- If the host wishes to remove it, they must cut it out manually, taking 4d6 slashing damage and making a DC 15 Constitution check to remain conscious.
- A failed removal attempt may cause the entity to take full control, wearing the host like a suit of skin.",,,,,,1d4,,,,,,,,15,TRUE,FALSE,Action,1,Action,,Until the anomaly resolves itself,,,,FALSE,FALSE,Touch,Point,,Touch,,,,,,"Verbal, Somatic, Material","V, S, R",Your fingers,Press your fingers against the target's abdomen,Whisper an incantation that only hunger understands,,,,,Offering of Self,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/famine%20birth.png,3137312,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:00:10,
,Festering Graze,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,Wizard,"Scourge, Cultist",3rd-level,Necromancy,N,"You deliver a touch seeded with patient decay, planting a wasting affliction that lies unseen within the flesh.

Make a melee spell attack against a creature you can reach. On a hit, the target becomes Infected.

Dormant Infection (3 Days):

For the next three days, the infection remains dormant.

• The target experiences no symptoms
• Nonmagical examination reveals nothing unusual
• The affliction cannot be detected by effects that identify active conditions or diseases

⸻

Awakening of the Rot:

After three days, the infection blossoms violently. The target must make a Constitution saving throw.

• Failure: The creature takes 5d10 necrotic damage and becomes Poisoned for 1 minute.
• Success: The creature takes half damage and is not Poisoned.

While Poisoned by this spell, the creature is wracked by feverish visions and invasive sensory distortions. The creature has disadvantage on Wisdom (Perception) checks for the duration.

⸻

Curing the Infection:

Before the infection awakens, it can be removed by:

• Lesser Restoration
• Cure Disease
• Comparable magic

Once awakened, only magic capable of removing conditions or necromantic effects can end the Poisoned state.

⸻

Those afflicted often insist the sensations feel disturbingly natural, as though their bodies merely remembered something inevitable.",,,,,,5d10,,,,,,,,,FALSE,FALSE,Action,1,Action,,Permanent until cured,Permanent,,,FALSE,FALSE,Touch,Point,,Touch,,,,,,Somatic,S,,"As you touch the target, whisper 'Festering decay takes hold'",,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/festering%20graze.png,3137314,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:00:17,
,First Act Entrée,0,ORIO,"Modifies AC, Uses Bonus Action, Grants Advantage","Modifies AC, Uses Bonus Action, Grants Advantage",MAC,,Bard,"Celebrity, Cultist",3rd-level,Divination,D,"Your presence surges with commanding intensity, pulling attention toward you with irresistible dramatic gravity.

Choose creatures within 30 feet who can see you. Each target must make a Charisma saving throw.

• Failure: The creature becomes captivated by your overwhelming presence for the duration.

While captivated:

• The creature has disadvantage on attack rolls against creatures other than you.
• At the start of each of its turns, the creature must succeed on a Wisdom saving throw or spend its bonus action verbalizing an unsolicited remark about you, chosen by the GM. This remark has no mechanical effect.
• The creature cannot benefit from being Hidden from you and gains no advantage from invisibility against you.

• Success: The creature resists the effect and is unaffected.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,60 feet,Point,60,Feet,,,,,,"Somatic, Verbal","V, S",,"With eyes ablaze, you gesture forth",By the radiance of my gaze,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/first%20act%20entr%C3%A9e.png,3137320,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:00:40,
,Fracturing of the Erelian Ledger,0,ORIO,,,,,"Wizard, Sorcerer",Architect,3rd-level,Transmutation,T,"You impose subtle contradictions upon systems of record, unsettling the coherence of preserved information.

Choose a nonmagical written record, archive, or collection of documents within range, occupying no more than a 10-foot cube. The targeted records become epistemically distorted for the duration.

While distorted:

• Written information becomes internally inconsistent
• Sequential details may contradict themselves
• Cross-referencing the material yields unreliable conclusions
• Magical effects used to extract or verify information from the records produce ambiguous or conflicting results

A creature carefully studying the distorted records may attempt an Intelligence (Investigation) check against your spell save DC to recognize the distortion.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Permanent,Permanent,,,FALSE,FALSE,60 feet,Point,60,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","A small, intricately carved stone from the Erelian Erudits' own quarries","With a flick of your wrist, you gesture as if unraveling a thread",You whisper 'Erelii fractio',,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fracturing%20of%20the%20erelian%20ledger.png,3137249,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:01:34,
